item_id,sku ,item_name,item_cat,item_size ,item_price
1,PIZZ-MARG-R,Pizza Margherita Regular,Pizza,Regular,12
2,PIZZ-MARG-L,Pizza Margherita Large,Pizza,Large,14
3,PIZZ-DIAV-R,Pizza Diavola Regular,Pizza,Regular,16
4,PIZZ-DIAV-L,Pizza Diavola Large,Pizza,Large,19
5,PIZZ-PARM-R,Pizza Parmigiana Regular,Pizza,Regular,15
6,PIZZ-PARM-L,Pizza Parmigiana Large,Pizza,Large,18
7,PIZZ-QUAT-R,Pizza Quattro Formaggi Regular,Pizza,Regular,16
8,PIZZ-QUAT-L,Pizza Quattro Formaggi Large,Pizza,Large,19
9,PIZZ-NAPO-R,Pizza Napolitana Regular,Pizza,Regular,16
10,PIZZ-NAPO-L,Pizza Napolitana Large,Pizza,Large,18
11,PIZZ-PEPP-R,Pizza Pepperoni Regular,Pizza,Regular,15
12,PIZZ-PEPP-L,Pizza Pepperoni Large,Pizza,Large,17
13,PIZZ-SEAF-R,Pizza Seafood Regular,Pizza,Regular,17
14,PIZZ-SEAF-L,Pizza Seafood Large,Pizza,Large,20
15,PIZZ-HAWA-R,Pizza Hawaiian Regular,Pizza,Regular,15
16,PIZZ-HAWA-L,Pizza Hawaiian Large,Pizza,Large,17
17,SIDE-GARL-R,Garlic Bread,Side,Regular,6
18,SIDE-CHIC-R,Chicken Wings,Side,Regular,7
19,SIDE-BREA-R,Breadsticks,Side,Regular,5
20,SIDE-CAES-R,Caesar Salad,Side,Regular,7
21,DESS-ICE-CHOC,Chocolate Ice Cream,Dessert,Regular,6
22,DESS-ICE-VANI,Vanilla Ice Cream,Dessert,Regular,6
23,DESS-ICE-STRA,Strawberry Ice Cream,Dessert,Regular,6
24,DESS-ICE-PIST,Pistachio Ice Crearn,Dessert,Regular,6
25,DESS-CHOC-BROW,Chocolate Brownie,Dessert,Regular,5
26,DESS-BANO-PIE,Banoffee Pie,Dessert,Regular,7
27,DESS-FRUI-SALA,Fruit salad,Dessert,Regular,5
28,BEVA-CC-REG33,Coca Cola 33cl,Beverage,33cl,3
29,BEVA-CC-REG1500,Coca Cola 1.5l,Beverage,1.5l,6
30,BEVA-CC-DIE33,Diet Coke 33cl,Beverage,33cl,3
31,BEVA-CC-DIE1500,Diet Coke 1.5l,Beverage,1.5l,6
32,BEVA-7U-REG33,7 Up 33cl,Beverage,33cl,3
33,BEVA-7U-REG1500,7 Up 1.5l,Beverage,1.5l,6
34,BEVA-FANT-REG33,Fanta 33cl,Beverage,33cl,3
35,BEVA-FANT-REG1500,Fanta 1.5l,Beverage,1.5l,6
36,BEVA-SW-REG33,Sparkling Water 33cl,Beverage,33cl,2
37,BEVA-SW-REG1500,Sparkling Water 1.5l,Beverage,1.5l,4
